cust_id,oneid,primary_intent,intent_json,intent_分期_借贷需求,intent_跨境_出行需求,intent_额度_升级需求,intent_权益_优惠需求,intent_沉睡_流失风险,intent_新户_激活引导
C000333,UID000333,分期/借贷需求,"{""分期/借贷需求"": 77, ""跨境/出行需求"": 23, ""额度/升级需求"": 31, ""权益/优惠需求"": 21, ""沉睡/流失风险"": 55, ""新户/激活引导"": 21}",77,23,31,21,55,21
C000334,UID000334,额度/升级需求,"{""分期/借贷需求"": 33, ""跨境/出行需求"": 7, ""额度/升级需求"": 90, ""权益/优惠需求"": 43, ""沉睡/流失风险"": 84, ""新户/激活引导"": 21}",33,7,90,43,84,21
C000335,UID000335,分期/借贷需求,"{""分期/借贷需求"": 95, ""跨境/出行需求"": 21, ""额度/升级需求"": 40, ""权益/优惠需求"": 51, ""沉睡/流失风险"": 17, ""新户/激活引导"": 20}",95,21,40,51,17,20
C000336,UID000336,额度/升级需求,"{""分期/借贷需求"": 12, ""跨境/出行需求"": 25, ""额度/升级需求"": 72, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 66, ""新户/激活引导"": 5}",12,25,72,33,66,5
C000337,UID000337,额度/升级需求,"{""分期/借贷需求"": 32, ""跨境/出行需求"": 30, ""额度/升级需求"": 62, ""权益/优惠需求"": 32, ""沉睡/流失风险"": 12, ""新户/激活引导"": 25}",32,30,62,32,12,25
C000338,UID000338,权益/优惠需求,"{""分期/借贷需求"": 16, ""跨境/出行需求"": 29, ""额度/升级需求"": 26, ""权益/优惠需求"": 58, ""沉睡/流失风险"": 6, ""新户/激活引导"": 16}",16,29,26,58,6,16
C000339,UID000339,分期/借贷需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 15, ""额度/升级需求"": 16, ""权益/优惠需求"": 39, ""沉睡/流失风险"": 27, ""新户/激活引导"": 20}",87,15,16,39,27,20
C000340,UID000340,沉睡/流失风险,"{""分期/借贷需求"": 50, ""跨境/出行需求"": 65, ""额度/升级需求"": 13, ""权益/优惠需求"": 54, ""沉睡/流失风险"": 79, ""新户/激活引导"": 6}",50,65,13,54,79,6
C000341,UID000341,分期/借贷需求,"{""分期/借贷需求"": 79, ""跨境/出行需求"": 11, ""额度/升级需求"": 61, ""权益/优惠需求"": 22, ""沉睡/流失风险"": 52, ""新户/激活引导"": 15}",79,11,61,22,52,15
C000342,UID000342,沉睡/流失风险,"{""分期/借贷需求"": 29, ""跨境/出行需求"": 76, ""额度/升级需求"": 72, ""权益/优惠需求"": 44, ""沉睡/流失风险"": 80, ""新户/激活引导"": 13}",29,76,72,44,80,13
C000343,UID000343,额度/升级需求,"{""分期/借贷需求"": 12, ""跨境/出行需求"": 29, ""额度/升级需求"": 80, ""权益/优惠需求"": 62, ""沉睡/流失风险"": 14, ""新户/激活引导"": 16}",12,29,80,62,14,16
C000344,UID000344,额度/升级需求,"{""分期/借贷需求"": 13, ""跨境/出行需求"": 32, ""额度/升级需求"": 80, ""权益/优惠需求"": 71, ""沉睡/流失风险"": 13, ""新户/激活引导"": 8}",13,32,80,71,13,8
C000345,UID000345,分期/借贷需求,"{""分期/借贷需求"": 95, ""跨境/出行需求"": 16, ""额度/升级需求"": 32, ""权益/优惠需求"": 35, ""沉睡/流失风险"": 28, ""新户/激活引导"": 19}",95,16,32,35,28,19
C000346,UID000346,沉睡/流失风险,"{""分期/借贷需求"": 34, ""跨境/出行需求"": 15, ""额度/升级需求"": 16, ""权益/优惠需求"": 41, ""沉睡/流失风险"": 81, ""新户/激活引导"": 16}",34,15,16,41,81,16
C000347,UID000347,权益/优惠需求,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 68, ""额度/升级需求"": 10, ""权益/优惠需求"": 77, ""沉睡/流失风险"": 7, ""新户/激活引导"": 18}",43,68,10,77,7,18
C000348,UID000348,分期/借贷需求,"{""分期/借贷需求"": 89, ""跨境/出行需求"": 31, ""额度/升级需求"": 16, ""权益/优惠需求"": 44, ""沉睡/流失风险"": 14, ""新户/激活引导"": 15}",89,31,16,44,14,15
C000349,UID000349,权益/优惠需求,"{""分期/借贷需求"": 16, ""跨境/出行需求"": 7, ""额度/升级需求"": 25, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 14, ""新户/激活引导"": 19}",16,7,25,28,14,19
C000350,UID000350,沉睡/流失风险,"{""分期/借贷需求"": 48, ""跨境/出行需求"": 27, ""额度/升级需求"": 73, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 78, ""新户/激活引导"": 16}",48,27,73,20,78,16
C000351,UID000351,额度/升级需求,"{""分期/借贷需求"": 38, ""跨境/出行需求"": 6, ""额度/升级需求"": 83, ""权益/优惠需求"": 32, ""沉睡/流失风险"": 24, ""新户/激活引导"": 18}",38,6,83,32,24,18
C000352,UID000352,额度/升级需求,"{""分期/借贷需求"": 27, ""跨境/出行需求"": 25, ""额度/升级需求"": 85, ""权益/优惠需求"": 13, ""沉睡/流失风险"": 7, ""新户/激活引导"": 25}",27,25,85,13,7,25
C000353,UID000353,分期/借贷需求,"{""分期/借贷需求"": 82, ""跨境/出行需求"": 16, ""额度/升级需求"": 37, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 5, ""新户/激活引导"": 9}",82,16,37,20,5,9
C000354,UID000354,分期/借贷需求,"{""分期/借贷需求"": 48, ""跨境/出行需求"": 26, ""额度/升级需求"": 33, ""权益/优惠需求"": 12, ""沉睡/流失风险"": 9, ""新户/激活引导"": 7}",48,26,33,12,9,7
C000355,UID000355,额度/升级需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 29, ""额度/升级需求"": 80, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 16, ""新户/激活引导"": 17}",25,29,80,33,16,17
C000356,UID000356,额度/升级需求,"{""分期/借贷需求"": 46, ""跨境/出行需求"": 61, ""额度/升级需求"": 79, ""权益/优惠需求"": 59, ""沉睡/流失风险"": 26, ""新户/激活引导"": 19}",46,61,79,59,26,19
C000357,UID000357,沉睡/流失风险,"{""分期/借贷需求"": 33, ""跨境/出行需求"": 16, ""额度/升级需求"": 74, ""权益/优惠需求"": 54, ""沉睡/流失风险"": 86, ""新户/激活引导"": 9}",33,16,74,54,86,9
C000358,UID000358,分期/借贷需求,"{""分期/借贷需求"": 86, ""跨境/出行需求"": 16, ""额度/升级需求"": 30, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 67, ""新户/激活引导"": 12}",86,16,30,30,67,12
C000359,UID000359,权益/优惠需求,"{""分期/借贷需求"": 73, ""跨境/出行需求"": 5, ""额度/升级需求"": 16, ""权益/优惠需求"": 81, ""沉睡/流失风险"": 21, ""新户/激活引导"": 17}",73,5,16,81,21,17
C000360,UID000360,分期/借贷需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 8, ""额度/升级需求"": 68, ""权益/优惠需求"": 26, ""沉睡/流失风险"": 78, ""新户/激活引导"": 11}",87,8,68,26,78,11
C000361,UID000361,额度/升级需求,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 14, ""额度/升级需求"": 82, ""权益/优惠需求"": 81, ""沉睡/流失风险"": 11, ""新户/激活引导"": 8}",49,14,82,81,11,8
C000362,UID000362,跨境/出行需求,"{""分期/借贷需求"": 18, ""跨境/出行需求"": 87, ""额度/升级需求"": 9, ""权益/优惠需求"": 38, ""沉睡/流失风险"": 10, ""新户/激活引导"": 19}",18,87,9,38,10,19
C000363,UID000363,额度/升级需求,"{""分期/借贷需求"": 15, ""跨境/出行需求"": 30, ""额度/升级需求"": 81, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 72, ""新户/激活引导"": 7}",15,30,81,30,72,7
C000364,UID000364,分期/借贷需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 22, ""额度/升级需求"": 69, ""权益/优惠需求"": 69, ""沉睡/流失风险"": 10, ""新户/激活引导"": 25}",87,22,69,69,10,25
C000365,UID000365,沉睡/流失风险,"{""分期/借贷需求"": 21, ""跨境/出行需求"": 30, ""额度/升级需求"": 28, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 64, ""新户/激活引导"": 8}",21,30,28,42,64,8
C000366,UID000366,额度/升级需求,"{""分期/借贷需求"": 22, ""跨境/出行需求"": 30, ""额度/升级需求"": 64, ""权益/优惠需求"": 25, ""沉睡/流失风险"": 30, ""新户/激活引导"": 20}",22,30,64,25,30,20
C000367,UID000367,沉睡/流失风险,"{""分期/借贷需求"": 11, ""跨境/出行需求"": 71, ""额度/升级需求"": 77, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 79, ""新户/激活引导"": 22}",11,71,77,33,79,22
C000368,UID000368,跨境/出行需求,"{""分期/借贷需求"": 18, ""跨境/出行需求"": 24, ""额度/升级需求"": 10, ""权益/优惠需求"": 14, ""沉睡/流失风险"": 14, ""新户/激活引导"": 17}",18,24,10,14,14,17
C000369,UID000369,沉睡/流失风险,"{""分期/借贷需求"": 40, ""跨境/出行需求"": 21, ""额度/升级需求"": 31, ""权益/优惠需求"": 76, ""沉睡/流失风险"": 86, ""新户/激活引导"": 7}",40,21,31,76,86,7
C000370,UID000370,新户/激活引导,"{""分期/借贷需求"": 18, ""跨境/出行需求"": 15, ""额度/升级需求"": 9, ""权益/优惠需求"": 38, ""沉睡/流失风险"": 19, ""新户/激活引导"": 81}",18,15,9,38,19,81
C000371,UID000371,沉睡/流失风险,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 16, ""额度/升级需求"": 64, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 90, ""新户/激活引导"": 23}",43,16,64,45,90,23
C000372,UID000372,沉睡/流失风险,"{""分期/借贷需求"": 21, ""跨境/出行需求"": 29, ""额度/升级需求"": 13, ""权益/优惠需求"": 37, ""沉睡/流失风险"": 82, ""新户/激活引导"": 6}",21,29,13,37,82,6
C000373,UID000373,权益/优惠需求,"{""分期/借贷需求"": 17, ""跨境/出行需求"": 21, ""额度/升级需求"": 64, ""权益/优惠需求"": 69, ""沉睡/流失风险"": 10, ""新户/激活引导"": 10}",17,21,64,69,10,10
C000374,UID000374,分期/借贷需求,"{""分期/借贷需求"": 80, ""跨境/出行需求"": 34, ""额度/升级需求"": 19, ""权益/优惠需求"": 72, ""沉睡/流失风险"": 21, ""新户/激活引导"": 14}",80,34,19,72,21,14
C000375,UID000375,分期/借贷需求,"{""分期/借贷需求"": 72, ""跨境/出行需求"": 13, ""额度/升级需求"": 17, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 13, ""新户/激活引导"": 9}",72,13,17,45,13,9
C000376,UID000376,权益/优惠需求,"{""分期/借贷需求"": 50, ""跨境/出行需求"": 14, ""额度/升级需求"": 79, ""权益/优惠需求"": 84, ""沉睡/流失风险"": 7, ""新户/激活引导"": 21}",50,14,79,84,7,21
C000377,UID000377,额度/升级需求,"{""分期/借贷需求"": 20, ""跨境/出行需求"": 78, ""额度/升级需求"": 90, ""权益/优惠需求"": 19, ""沉睡/流失风险"": 60, ""新户/激活引导"": 24}",20,78,90,19,60,24
C000378,UID000378,额度/升级需求,"{""分期/借贷需求"": 48, ""跨境/出行需求"": 15, ""额度/升级需求"": 86, ""权益/优惠需求"": 52, ""沉睡/流失风险"": 5, ""新户/激活引导"": 7}",48,15,86,52,5,7
C000379,UID000379,额度/升级需求,"{""分期/借贷需求"": 12, ""跨境/出行需求"": 35, ""额度/升级需求"": 80, ""权益/优惠需求"": 26, ""沉睡/流失风险"": 25, ""新户/激活引导"": 66}",12,35,80,26,25,66
C000380,UID000380,分期/借贷需求,"{""分期/借贷需求"": 94, ""跨境/出行需求"": 23, ""额度/升级需求"": 73, ""权益/优惠需求"": 11, ""沉睡/流失风险"": 81, ""新户/激活引导"": 25}",94,23,73,11,81,25
C000381,UID000381,额度/升级需求,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 14, ""额度/升级需求"": 80, ""权益/优惠需求"": 69, ""沉睡/流失风险"": 80, ""新户/激活引导"": 12}",44,14,80,69,80,12
C000382,UID000382,额度/升级需求,"{""分期/借贷需求"": 35, ""跨境/出行需求"": 14, ""额度/升级需求"": 74, ""权益/优惠需求"": 54, ""沉睡/流失风险"": 27, ""新户/激活引导"": 6}",35,14,74,54,27,6
C000383,UID000383,沉睡/流失风险,"{""分期/借贷需求"": 20, ""跨境/出行需求"": 19, ""额度/升级需求"": 73, ""权益/优惠需求"": 40, ""沉睡/流失风险"": 79, ""新户/激活引导"": 11}",20,19,73,40,79,11
C000384,UID000384,沉睡/流失风险,"{""分期/借贷需求"": 31, ""跨境/出行需求"": 24, ""额度/升级需求"": 14, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 70, ""新户/激活引导"": 16}",31,24,14,30,70,16
C000385,UID000385,分期/借贷需求,"{""分期/借贷需求"": 82, ""跨境/出行需求"": 9, ""额度/升级需求"": 28, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 22, ""新户/激活引导"": 8}",82,9,28,42,22,8
C000386,UID000386,额度/升级需求,"{""分期/借贷需求"": 30, ""跨境/出行需求"": 12, ""额度/升级需求"": 34, ""权益/优惠需求"": 17, ""沉睡/流失风险"": 13, ""新户/激活引导"": 19}",30,12,34,17,13,19
C000387,UID000387,额度/升级需求,"{""分期/借贷需求"": 25, ""跨境/出行需求"": 9, ""额度/升级需求"": 63, ""权益/优惠需求"": 13, ""沉睡/流失风险"": 14, ""新户/激活引导"": 17}",25,9,63,13,14,17
C000388,UID000388,沉睡/流失风险,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 18, ""额度/升级需求"": 67, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 70, ""新户/激活引导"": 23}",49,18,67,20,70,23
C000389,UID000389,额度/升级需求,"{""分期/借贷需求"": 30, ""跨境/出行需求"": 11, ""额度/升级需求"": 84, ""权益/优惠需求"": 20, ""沉睡/流失风险"": 81, ""新户/激活引导"": 21}",30,11,84,20,81,21
C000390,UID000390,分期/借贷需求,"{""分期/借贷需求"": 84, ""跨境/出行需求"": 20, ""额度/升级需求"": 24, ""权益/优惠需求"": 81, ""沉睡/流失风险"": 51, ""新户/激活引导"": 7}",84,20,24,81,51,7
C000391,UID000391,额度/升级需求,"{""分期/借贷需求"": 35, ""跨境/出行需求"": 21, ""额度/升级需求"": 74, ""权益/优惠需求"": 65, ""沉睡/流失风险"": 63, ""新户/激活引导"": 23}",35,21,74,65,63,23
C000392,UID000392,额度/升级需求,"{""分期/借贷需求"": 32, ""跨境/出行需求"": 6, ""额度/升级需求"": 61, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 20, ""新户/激活引导"": 24}",32,6,61,28,20,24
C000393,UID000393,分期/借贷需求,"{""分期/借贷需求"": 40, ""跨境/出行需求"": 14, ""额度/升级需求"": 39, ""权益/优惠需求"": 10, ""沉睡/流失风险"": 8, ""新户/激活引导"": 18}",40,14,39,10,8,18
C000394,UID000394,跨境/出行需求,"{""分期/借贷需求"": 18, ""跨境/出行需求"": 88, ""额度/升级需求"": 68, ""权益/优惠需求"": 33, ""沉睡/流失风险"": 75, ""新户/激活引导"": 16}",18,88,68,33,75,16
C000395,UID000395,新户/激活引导,"{""分期/借贷需求"": 12, ""跨境/出行需求"": 17, ""额度/升级需求"": 61, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 11, ""新户/激活引导"": 71}",12,17,61,45,11,71
C000396,UID000396,分期/借贷需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 14, ""额度/升级需求"": 62, ""权益/优惠需求"": 34, ""沉睡/流失风险"": 21, ""新户/激活引导"": 19}",87,14,62,34,21,19
C000397,UID000397,额度/升级需求,"{""分期/借贷需求"": 45, ""跨境/出行需求"": 13, ""额度/升级需求"": 86, ""权益/优惠需求"": 17, ""沉睡/流失风险"": 9, ""新户/激活引导"": 63}",45,13,86,17,9,63
C000398,UID000398,分期/借贷需求,"{""分期/借贷需求"": 82, ""跨境/出行需求"": 71, ""额度/升级需求"": 26, ""权益/优惠需求"": 45, ""沉睡/流失风险"": 16, ""新户/激活引导"": 9}",82,71,26,45,16,9
C000399,UID000399,沉睡/流失风险,"{""分期/借贷需求"": 22, ""跨境/出行需求"": 24, ""额度/升级需求"": 76, ""权益/优惠需求"": 35, ""沉睡/流失风险"": 82, ""新户/激活引导"": 6}",22,24,76,35,82,6
C000400,UID000400,分期/借贷需求,"{""分期/借贷需求"": 71, ""跨境/出行需求"": 61, ""额度/升级需求"": 13, ""权益/优惠需求"": 31, ""沉睡/流失风险"": 30, ""新户/激活引导"": 20}",71,61,13,31,30,20
C000401,UID000401,额度/升级需求,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 19, ""额度/升级需求"": 64, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 9, ""新户/激活引导"": 15}",43,19,64,42,9,15
C000402,UID000402,权益/优惠需求,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 70, ""额度/升级需求"": 65, ""权益/优惠需求"": 75, ""沉睡/流失风险"": 24, ""新户/激活引导"": 14}",49,70,65,75,24,14
C000403,UID000403,沉睡/流失风险,"{""分期/借贷需求"": 47, ""跨境/出行需求"": 15, ""额度/升级需求"": 76, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 84, ""新户/激活引导"": 20}",47,15,76,42,84,20
C000404,UID000404,分期/借贷需求,"{""分期/借贷需求"": 92, ""跨境/出行需求"": 23, ""额度/升级需求"": 24, ""权益/优惠需求"": 40, ""沉睡/流失风险"": 5, ""新户/激活引导"": 16}",92,23,24,40,5,16
C000405,UID000405,跨境/出行需求,"{""分期/借贷需求"": 80, ""跨境/出行需求"": 81, ""额度/升级需求"": 63, ""权益/优惠需求"": 36, ""沉睡/流失风险"": 23, ""新户/激活引导"": 69}",80,81,63,36,23,69
C000406,UID000406,分期/借贷需求,"{""分期/借贷需求"": 95, ""跨境/出行需求"": 33, ""额度/升级需求"": 6, ""权益/优惠需求"": 40, ""沉睡/流失风险"": 13, ""新户/激活引导"": 25}",95,33,6,40,13,25
C000407,UID000407,额度/升级需求,"{""分期/借贷需求"": 47, ""跨境/出行需求"": 23, ""额度/升级需求"": 67, ""权益/优惠需求"": 13, ""沉睡/流失风险"": 23, ""新户/激活引导"": 20}",47,23,67,13,23,20
C000408,UID000408,分期/借贷需求,"{""分期/借贷需求"": 75, ""跨境/出行需求"": 21, ""额度/升级需求"": 29, ""权益/优惠需求"": 59, ""沉睡/流失风险"": 65, ""新户/激活引导"": 6}",75,21,29,59,65,6
C000409,UID000409,额度/升级需求,"{""分期/借贷需求"": 46, ""跨境/出行需求"": 35, ""额度/升级需求"": 82, ""权益/优惠需求"": 17, ""沉睡/流失风险"": 11, ""新户/激活引导"": 5}",46,35,82,17,11,5
C000410,UID000410,额度/升级需求,"{""分期/借贷需求"": 38, ""跨境/出行需求"": 15, ""额度/升级需求"": 73, ""权益/优惠需求"": 19, ""沉睡/流失风险"": 18, ""新户/激活引导"": 11}",38,15,73,19,18,11
C000411,UID000411,分期/借贷需求,"{""分期/借贷需求"": 36, ""跨境/出行需求"": 21, ""额度/升级需求"": 35, ""权益/优惠需求"": 13, ""沉睡/流失风险"": 27, ""新户/激活引导"": 9}",36,21,35,13,27,9
C000412,UID000412,额度/升级需求,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 11, ""额度/升级需求"": 77, ""权益/优惠需求"": 70, ""沉睡/流失风险"": 26, ""新户/激活引导"": 20}",43,11,77,70,26,20
C000413,UID000413,跨境/出行需求,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 72, ""额度/升级需求"": 70, ""权益/优惠需求"": 21, ""沉睡/流失风险"": 19, ""新户/激活引导"": 22}",43,72,70,21,19,22
C000414,UID000414,沉睡/流失风险,"{""分期/借贷需求"": 31, ""跨境/出行需求"": 22, ""额度/升级需求"": 71, ""权益/优惠需求"": 26, ""沉睡/流失风险"": 89, ""新户/激活引导"": 20}",31,22,71,26,89,20
C000415,UID000415,跨境/出行需求,"{""分期/借贷需求"": 22, ""跨境/出行需求"": 35, ""额度/升级需求"": 20, ""权益/优惠需求"": 27, ""沉睡/流失风险"": 22, ""新户/激活引导"": 14}",22,35,20,27,22,14
C000416,UID000416,额度/升级需求,"{""分期/借贷需求"": 24, ""跨境/出行需求"": 35, ""额度/升级需求"": 69, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 27, ""新户/激活引导"": 11}",24,35,69,28,27,11
C000417,UID000417,分期/借贷需求,"{""分期/借贷需求"": 92, ""跨境/出行需求"": 27, ""额度/升级需求"": 75, ""权益/优惠需求"": 30, ""沉睡/流失风险"": 20, ""新户/激活引导"": 16}",92,27,75,30,20,16
C000418,UID000418,跨境/出行需求,"{""分期/借贷需求"": 87, ""跨境/出行需求"": 89, ""额度/升级需求"": 22, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 8, ""新户/激活引导"": 78}",87,89,22,28,8,78
C000419,UID000419,权益/优惠需求,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 17, ""额度/升级需求"": 30, ""权益/优惠需求"": 72, ""沉睡/流失风险"": 59, ""新户/激活引导"": 14}",44,17,30,72,59,14
C000420,UID000420,额度/升级需求,"{""分期/借贷需求"": 71, ""跨境/出行需求"": 14, ""额度/升级需求"": 90, ""权益/优惠需求"": 15, ""沉睡/流失风险"": 16, ""新户/激活引导"": 19}",71,14,90,15,16,19
C000421,UID000421,额度/升级需求,"{""分期/借贷需求"": 26, ""跨境/出行需求"": 28, ""额度/升级需求"": 75, ""权益/优惠需求"": 23, ""沉睡/流失风险"": 62, ""新户/激活引导"": 22}",26,28,75,23,62,22
C000422,UID000422,沉睡/流失风险,"{""分期/借贷需求"": 27, ""跨境/出行需求"": 34, ""额度/升级需求"": 40, ""权益/优惠需求"": 27, ""沉睡/流失风险"": 58, ""新户/激活引导"": 8}",27,34,40,27,58,8
C000423,UID000423,额度/升级需求,"{""分期/借贷需求"": 49, ""跨境/出行需求"": 28, ""额度/升级需求"": 78, ""权益/优惠需求"": 25, ""沉睡/流失风险"": 65, ""新户/激活引导"": 61}",49,28,78,25,65,61
C000424,UID000424,跨境/出行需求,"{""分期/借贷需求"": 43, ""跨境/出行需求"": 67, ""额度/升级需求"": 19, ""权益/优惠需求"": 53, ""沉睡/流失风险"": 8, ""新户/激活引导"": 18}",43,67,19,53,8,18
C000425,UID000425,额度/升级需求,"{""分期/借贷需求"": 31, ""跨境/出行需求"": 27, ""额度/升级需求"": 75, ""权益/优惠需求"": 16, ""沉睡/流失风险"": 58, ""新户/激活引导"": 5}",31,27,75,16,58,5
C000426,UID000426,沉睡/流失风险,"{""分期/借贷需求"": 45, ""跨境/出行需求"": 34, ""额度/升级需求"": 65, ""权益/优惠需求"": 36, ""沉睡/流失风险"": 80, ""新户/激活引导"": 20}",45,34,65,36,80,20
C000427,UID000427,额度/升级需求,"{""分期/借贷需求"": 22, ""跨境/出行需求"": 29, ""额度/升级需求"": 90, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 15, ""新户/激活引导"": 14}",22,29,90,28,15,14
C000428,UID000428,额度/升级需求,"{""分期/借贷需求"": 13, ""跨境/出行需求"": 34, ""额度/升级需求"": 84, ""权益/优惠需求"": 15, ""沉睡/流失风险"": 25, ""新户/激活引导"": 78}",13,34,84,15,25,78
C000429,UID000429,额度/升级需求,"{""分期/借贷需求"": 77, ""跨境/出行需求"": 22, ""额度/升级需求"": 83, ""权益/优惠需求"": 52, ""沉睡/流失风险"": 10, ""新户/激活引导"": 18}",77,22,83,52,10,18
C000430,UID000430,分期/借贷需求,"{""分期/借贷需求"": 75, ""跨境/出行需求"": 34, ""额度/升级需求"": 7, ""权益/优惠需求"": 75, ""沉睡/流失风险"": 30, ""新户/激活引导"": 20}",75,34,7,75,30,20
C000431,UID000431,额度/升级需求,"{""分期/借贷需求"": 75, ""跨境/出行需求"": 34, ""额度/升级需求"": 83, ""权益/优惠需求"": 68, ""沉睡/流失风险"": 52, ""新户/激活引导"": 5}",75,34,83,68,52,5
C000432,UID000432,跨境/出行需求,"{""分期/借贷需求"": 29, ""跨境/出行需求"": 78, ""额度/升级需求"": 11, ""权益/优惠需求"": 31, ""沉睡/流失风险"": 14, ""新户/激活引导"": 74}",29,78,11,31,14,74
C000433,UID000433,跨境/出行需求,"{""分期/借贷需求"": 44, ""跨境/出行需求"": 76, ""额度/升级需求"": 75, ""权益/优惠需求"": 18, ""沉睡/流失风险"": 21, ""新户/激活引导"": 19}",44,76,75,18,21,19
C000434,UID000434,分期/借贷需求,"{""分期/借贷需求"": 78, ""跨境/出行需求"": 11, ""额度/升级需求"": 12, ""权益/优惠需求"": 71, ""沉睡/流失风险"": 10, ""新户/激活引导"": 19}",78,11,12,71,10,19
C000435,UID000435,分期/借贷需求,"{""分期/借贷需求"": 90, ""跨境/出行需求"": 13, ""额度/升级需求"": 82, ""权益/优惠需求"": 21, ""沉睡/流失风险"": 5, ""新户/激活引导"": 15}",90,13,82,21,5,15
C000436,UID000436,额度/升级需求,"{""分期/借贷需求"": 28, ""跨境/出行需求"": 23, ""额度/升级需求"": 81, ""权益/优惠需求"": 22, ""沉睡/流失风险"": 10, ""新户/激活引导"": 24}",28,23,81,22,10,24
C000437,UID000437,分期/借贷需求,"{""分期/借贷需求"": 90, ""跨境/出行需求"": 33, ""额度/升级需求"": 30, ""权益/优惠需求"": 37, ""沉睡/流失风险"": 82, ""新户/激活引导"": 15}",90,33,30,37,82,15
C000438,UID000438,跨境/出行需求,"{""分期/借贷需求"": 15, ""跨境/出行需求"": 72, ""额度/升级需求"": 11, ""权益/优惠需求"": 21, ""沉睡/流失风险"": 9, ""新户/激活引导"": 20}",15,72,11,21,9,20
C000439,UID000439,跨境/出行需求,"{""分期/借贷需求"": 30, ""跨境/出行需求"": 89, ""额度/升级需求"": 67, ""权益/优惠需求"": 10, ""沉睡/流失风险"": 13, ""新户/激活引导"": 17}",30,89,67,10,13,17
C000440,UID000440,额度/升级需求,"{""分期/借贷需求"": 77, ""跨境/出行需求"": 19, ""额度/升级需求"": 84, ""权益/优惠需求"": 27, ""沉睡/流失风险"": 15, ""新户/激活引导"": 14}",77,19,84,27,15,14
C000441,UID000441,额度/升级需求,"{""分期/借贷需求"": 47, ""跨境/出行需求"": 28, ""额度/升级需求"": 78, ""权益/优惠需求"": 50, ""沉睡/流失风险"": 13, ""新户/激活引导"": 25}",47,28,78,50,13,25
C000442,UID000442,额度/升级需求,"{""分期/借贷需求"": 33, ""跨境/出行需求"": 27, ""额度/升级需求"": 67, ""权益/优惠需求"": 13, ""沉睡/流失风险"": 57, ""新户/激活引导"": 19}",33,27,67,13,57,19
C000443,UID000443,权益/优惠需求,"{""分期/借贷需求"": 29, ""跨境/出行需求"": 10, ""额度/升级需求"": 30, ""权益/优惠需求"": 42, ""沉睡/流失风险"": 27, ""新户/激活引导"": 14}",29,10,30,42,27,14
C000444,UID000444,额度/升级需求,"{""分期/借贷需求"": 17, ""跨境/出行需求"": 25, ""额度/升级需求"": 89, ""权益/优惠需求"": 28, ""沉睡/流失风险"": 73, ""新户/激活引导"": 24}",17,25,89,28,73,24
C000445,UID000445,分期/借贷需求,"{""分期/借贷需求"": 77, ""跨境/出行需求"": 67, ""额度/升级需求"": 13, ""权益/优惠需求"": 40, ""沉睡/流失风险"": 59, ""新户/激活引导"": 19}",77,67,13,40,59,19
C000446,UID000446,权益/优惠需求,"{""分期/借贷需求"": 48, ""跨境/出行需求"": 71, ""额度/升级需求"": 31, ""权益/优惠需求"": 85, ""沉睡/流失风险"": 80, ""新户/激活引导"": 22}",48,71,31,85,80,22
C000447,UID000447,沉睡/流失风险,"{""分期/借贷需求"": 23, ""跨境/出行需求"": 29, ""额度/升级需求"": 20, ""权益/优惠需求"": 15, ""沉睡/流失风险"": 83, ""新户/激活引导"": 19}",23,29,20,15,83,19
