cust_id,oneid,age,city,income_level,lifecycle_stage,vip_tier,card_level,product_name,total_credit_amount,card_count,usage_rate,annual_consumption,monthly_avg_consumption,cons_90d,cons_30d,cons_7d,txn_count_90d,txn_count_30d,txn_count_7d,active_days_90d,active_days_30d,active_days_7d,consumption_trend,installment_contribution,overdue_status,history_overdue_count,min_payment_count,churn_risk_score,cash_advance_risk,risk_level,value_level,activity_score,dormancy_risk,significant_signals,search_keywords_7d,browse_preferences_30d,milestones,marketing_consent,personalization_consent,dnc_list,do_not_contact,blacklist_flag,push_consent,sms_consent,wechat_consent,email_consent,phone_consent,unsubscribe_channels,complaint_count_90d,data_version,generated_at
C000341,UID000341,41,上海,M,沉睡期,白金,金卡,XX银行携程旅行信用卡（金卡）,77500.0,2,0.815,11797.8,983.15,434.68,186.21,34.97,1,0,0,0,0,0,stable,824.95,M0,0,0,85,14,high,high,0,high,"活跃度骤降, 沉睡预警","临时额度×2, 酒店×3, 免息分期×6","还款页面(10%), 额度管理(27%), 分期计算器(23%), 积分兑换(40%)",年消费突破10万,True,False,False,False,True,True,False,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000342,UID000342,57,深圳,H,成熟期,普通,金卡,XX银行标准信用卡（金卡）,221600.0,3,0.7077,774686.52,64557.21,181972.75,56403.93,18096.32,459,160,40,90,31,7,up,45279.99,M0,0,0,0,0,low,high,100,low,,"签证×4, 额度不够×8, 投诉×6","信用卡申请(25%), 还款页面(25%), 权益商城(16%), 分期计算器(34%)",,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000343,UID000343,30,深圳,M,成熟期,金卡,金卡,XX银行标准信用卡（金卡）,146800.0,4,0.7925,135472.85,11289.4,39223.35,13974.42,3749.16,99,34,8,59,20,5,stable,10009.05,M0,0,0,0,2,low,medium,79,low,,"固定额度×6, 5折×2, 最低还款×4","额度管理(48%), 分期计算器(21%), 新手指引(12%), 活动中心(19%)",升级白金卡|首次境外消费|首投投诉,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000344,UID000344,26,上海,L,成熟期,普通,金卡,XX银行携程旅行信用卡（金卡）,119800.0,3,0.7127,34894.41,2907.87,5901.97,2579.53,702.23,12,4,1,7,2,0,up,2265.73,M0,0,1,2,7,low,low,10,high,"活跃度骤降, 沉睡预警","提额×4, 5折×4, 酒店×2","分期计算器(13%), 账单详情(51%), 还款页面(8%), 权益商城(27%)",额度首次提升|首投投诉,True,True,False,False,False,True,False,True,True,False,短信,0,v1.0,2026-07-17T00:00:00+08:00
C000345,UID000345,35,宁波,H,成熟期,普通,普卡,XX银行标准信用卡（普卡）,74400.0,3,0.464,165557.31,13796.44,31411.21,9547.41,2054.62,53,18,4,31,10,2,down,7569.9,M0,0,1,2,4,low,high,48,medium,,"海淘×6, 贵宾厅×7, 现金分期×2","新手指引(34%), 账单详情(7%), 权益商城(46%), 信用卡申请(13%)",首次使用机场贵宾厅|首次境外消费,True,True,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000346,UID000346,28,北京,L,沉睡期,普通,金卡,XX银行YOUNG卡（青年版）,51800.0,4,0.6982,3679.74,306.65,188.35,59.9,16.37,0,0,0,0,0,0,stable,290.17,M1,1,0,59,27,medium,low,0,high,"活跃度骤降, 沉睡预警","12期×8, 年费×6, 里程×6","境外消费专区(11%), 活动中心(25%), 额度管理(20%), 还款页面(44%)",首投投诉,True,False,False,False,False,True,False,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000347,UID000347,45,西安,M,成长期,普通,金卡,XX银行携程旅行信用卡（金卡）,68900.0,1,0.7833,263108.66,21925.72,109078.43,40063.97,10835.87,82,28,7,49,17,4,down,10313.91,M1,1,0,30,7,low,medium,76,low,,"积分兑换×5, 销户×6, 出境游×7","高端卡专区(14%), 分期计算器(18%), 权益商城(62%), 新手指引(6%)",首次使用机场贵宾厅,True,True,False,False,False,True,True,False,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000348,UID000348,29,深圳,M,成熟期,白金,白金卡,XX银行经典版白金信用卡,237900.0,3,0.5168,196983.82,16415.32,47242.56,15940.84,4507.92,90,31,7,54,18,4,up,15415.42,M1,1,0,3,9,low,high,79,low,,"年费×6, 分期费率×4, 机票×5","额度管理(36%), 权益商城(31%), 信用卡申请(12%), 账单详情(20%)",,True,True,False,False,False,True,True,False,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000349,UID000349,32,宁波,M,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,39300.0,1,0.4253,212294.34,17691.2,32925.69,8506.61,2142.53,125,43,10,75,26,6,up,18859.98,M0,0,0,6,3,low,medium,83,low,,"退卡×8, 酒店×4, 最低还款×3","活动中心(1%), 积分兑换(54%), 权益商城(12%), 账单详情(33%)",额度首次提升,True,True,False,False,False,True,False,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000350,UID000350,25,合肥,L,成长期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,64300.0,3,0.4928,26765.65,2230.47,8498.22,3105.37,929.3,5,1,0,3,1,0,down,2222.95,M0,0,0,1,1,low,low,7,high,"活跃度骤降, 沉睡预警","手续费×5, 投诉×6, 提额×4","境外消费专区(23%), 积分兑换(26%), 新手指引(24%), 额度管理(27%)",首笔分期办理|额度首次提升,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000351,UID000351,42,深圳,L,成熟期,金卡,金卡,XX银行标准信用卡（金卡）,182400.0,4,0.4199,17861.29,1488.44,5182.48,2060.56,617.81,3,1,0,1,0,0,down,1633.33,M0,0,0,1,0,low,medium,4,high,"活跃度骤降, 沉睡预警","免税×3, 销户×3, 固定额度×8","高端卡专区(24%), 权益商城(8%), 还款页面(37%), 信用卡申请(31%)",额度首次提升|首笔分期办理|首次使用机场贵宾厅,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000352,UID000352,25,苏州,L,成熟期,金卡,白金卡,XX银行银联白金信用卡,234800.0,4,0.436,49592.64,4132.72,8922.2,2380.5,452.66,14,4,1,8,2,0,up,3740.6,M0,0,0,7,2,low,medium,13,high,"活跃度骤降, 沉睡预警","12期×7, 临时额度×5, 年费×4","账单详情(28%), 境外消费专区(23%), 分期计算器(20%), 活动中心(28%)",,True,True,False,False,False,True,False,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000353,UID000353,39,苏州,M,成熟期,金卡,普卡,XX银行标准信用卡（普卡）,50200.0,2,0.6035,51258.63,4271.55,16993.43,7184.0,1297.13,23,8,2,13,4,1,stable,4020.01,M0,0,1,0,9,low,medium,22,medium,活跃度骤降,"年费×5, 免息分期×4, 星巴克×7","高端卡专区(31%), 账单详情(9%), 积分兑换(49%), 还款页面(12%)",,True,True,False,False,False,True,False,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000354,UID000354,53,上海,L,成熟期,金卡,普卡,XX银行标准信用卡（普卡）,54300.0,4,0.4392,15420.08,1285.01,3412.11,1067.76,266.99,4,1,0,2,0,0,up,1333.53,M0,0,0,5,4,low,medium,4,high,"活跃度骤降, 沉睡预警","电影票×3, 海淘×7, 最低还款×7","额度管理(42%), 活动中心(26%), 积分兑换(11%), 账单详情(21%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000355,UID000355,21,成都,L,成熟期,白金,金卡,XX银行携程旅行信用卡（金卡）,43600.0,1,0.2165,41515.56,3459.63,9193.55,3366.51,631.49,9,3,0,5,1,0,stable,3435.68,M0,0,0,24,6,low,high,10,high,"活跃度骤降, 沉睡预警","钻石卡×4, 星巴克×5, 酒店×2","账单详情(23%), 高端卡专区(52%), 分期计算器(8%), 活动中心(18%)",首笔分期办理|升级白金卡,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000356,UID000356,49,上海,H,成熟期,金卡,白金卡,XX银行全币种国际白金信用卡,295700.0,4,0.1314,370650.43,30887.54,57009.25,22736.17,6220.15,180,62,15,90,31,7,down,40351.35,M0,0,0,10,4,low,high,100,low,,"汇率×7, 提额×2, 积分兑换×8","高端卡专区(21%), 新手指引(32%), 额度管理(13%), 境外消费专区(33%)",首次境外消费,True,True,False,False,False,True,True,False,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000357,UID000357,37,南京,M,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,104600.0,4,0.7128,27588.62,2299.05,4877.53,1882.81,590.63,10,3,0,6,2,0,up,3104.79,M0,0,0,30,4,low,medium,8,high,"活跃度骤降, 沉睡预警","投诉×5, 固定额度×8, 优惠券×4","额度管理(16%), 境外消费专区(11%), 活动中心(30%), 账单详情(43%)",首投投诉,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000358,UID000358,23,广州,H,沉睡期,金卡,金卡,XX银行标准信用卡（金卡）,89700.0,1,0.3332,73411.92,6117.66,2354.71,1042.83,233.34,3,1,0,1,0,0,stable,5524.68,M0,0,0,57,1,medium,high,2,high,"活跃度骤降, 沉睡预警","年费×6, 分期费率×7, 海淘×8","高端卡专区(16%), 账单详情(10%), 还款页面(49%), 新手指引(25%)",,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000359,UID000359,36,广州,M,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,23600.0,1,0.1209,35203.69,2933.64,5549.53,2076.61,412.47,9,3,0,5,1,0,stable,2726.05,M0,0,0,0,0,low,medium,8,high,"活跃度骤降, 沉睡预警","优惠券×7, 机票×4, 分期费率×3","信用卡申请(36%), 境外消费专区(36%), 分期计算器(12%), 活动中心(15%)",首次使用机场贵宾厅,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000360,UID000360,42,深圳,L,成熟期,白金,白金卡,XX银行全币种国际白金信用卡,65900.0,2,0.166,90403.49,7533.62,18372.85,5331.35,1722.36,37,12,3,22,7,1,stable,9303.54,M3+,3,0,0,1,high,high,31,medium,逾期预警,"海淘×6, 现金分期×4, 钻石卡×5","信用卡申请(4%), 权益商城(28%), 高端卡专区(35%), 积分兑换(34%)",额度首次提升,False,True,True,True,True,True,False,False,False,True,微信公众号,0,v1.0,2026-07-17T00:00:00+08:00
C000361,UID000361,27,厦门,M,成熟期,白金,白金卡,XX银行银联白金信用卡,224700.0,2,0.6887,292705.02,24392.08,68818.66,24801.75,6601.14,82,28,7,49,17,4,stable,13701.6,M0,0,0,0,9,low,high,76,low,,"年费×6, 临时额度×6, 优惠券×5","新手指引(4%), 额度管理(11%), 积分兑换(46%), 分期计算器(39%)",升级白金卡|年消费突破10万,True,False,False,False,False,False,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000362,UID000362,39,广州,L,成熟期,普通,普卡,XX银行标准信用卡（普卡）,27400.0,4,0.5589,43873.15,3656.1,9567.72,3301.62,832.8,20,7,1,12,4,1,stable,2120.59,M0,0,0,0,2,low,low,17,high,"活跃度骤降, 沉睡预警","签证×5, 接送机×6, 销户×6","账单详情(19%), 信用卡申请(34%), 新手指引(5%), 境外消费专区(42%)",额度首次提升,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000363,UID000363,50,长沙,M,沉睡期,普通,普卡,XX银行标准信用卡（普卡）,23400.0,1,0.3752,12398.27,1033.19,711.11,292.91,74.7,0,0,0,0,0,0,up,698.38,M0,0,0,64,12,medium,medium,0,high,"活跃度骤降, 沉睡预警","注销×3, 额度不够×4, 手续费×7","分期计算器(50%), 境外消费专区(20%), 额度管理(26%), 积分兑换(4%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000364,UID000364,29,天津,M,成熟期,金卡,金卡,XX银行携程旅行信用卡（金卡）,65000.0,2,0.5756,133635.46,11136.29,35315.04,15720.71,4682.67,139,48,12,83,29,7,stable,8786.6,M1,1,0,0,4,low,medium,88,low,,"免息分期×5, 5折×6, 额度不够×7","额度管理(23%), 权益商城(38%), 境外消费专区(20%), 高端卡专区(20%)",首笔分期办理|升级白金卡,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000365,UID000365,25,深圳,L,沉睡期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,98800.0,4,0.4783,9211.36,767.61,315.72,121.12,34.25,0,0,0,0,0,0,stable,702.9,M1,1,0,71,12,high,low,0,high,"活跃度骤降, 沉睡预警","投诉×2, 东京×2, 12期×4","账单详情(12%), 还款页面(21%), 额度管理(35%), 权益商城(32%)",升级白金卡|首次境外消费,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000366,UID000366,33,西安,L,成熟期,金卡,校园卡,XX银行YOUNG卡（校园版）,25900.0,1,0.7018,7029.82,585.82,2335.13,971.42,282.43,4,1,0,2,0,0,stable,496.29,M0,0,0,0,1,low,medium,3,high,"活跃度骤降, 沉睡预警","机票×8, 接送机×3, 额度不够×8","额度管理(8%), 高端卡专区(28%), 账单详情(40%), 还款页面(23%)",升级白金卡,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000367,UID000367,35,长沙,L,成熟期,金卡,白金卡,XX银行银联白金信用卡,69400.0,1,0.7021,82058.54,6838.21,19986.99,7656.28,1791.13,15,5,1,9,3,0,stable,9028.22,M0,0,0,0,7,low,medium,20,medium,活跃度骤降,"汇率×3, 钻石卡×5, 注销×2","权益商城(15%), 境外消费专区(22%), 还款页面(17%), 额度管理(46%)",首笔分期办理,True,True,False,False,False,True,False,False,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000368,UID000368,45,杭州,H,成熟期,白金,白金卡,XX银行银联白金信用卡,543500.0,4,0.461,367641.41,30636.78,92510.62,23888.46,6991.58,89,31,7,53,18,4,stable,24921.8,M0,0,0,1,9,low,high,80,low,,"退卡×6, 手续费×2, 里程×2","信用卡申请(34%), 账单详情(9%), 还款页面(50%), 权益商城(7%)",,True,False,False,False,False,False,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000369,UID000369,33,武汉,M,沉睡期,金卡,白金卡,XX银行银联白金信用卡,328200.0,4,0.8,53470.65,4455.89,2183.55,927.21,172.85,4,1,0,2,0,0,up,2978.66,M1,1,0,59,2,medium,medium,3,high,"活跃度骤降, 沉睡预警","积分兑换×7, 投诉×5, 海淘×8","信用卡申请(16%), 额度管理(19%), 积分兑换(31%), 分期计算器(34%)",,True,True,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000370,UID000370,30,上海,H,新户,金卡,白金卡,XX银行银联白金信用卡,439100.0,2,0.6407,1096942.11,91411.84,417861.0,110561.99,35267.89,232,81,20,90,31,7,stable,112854.47,M0,0,0,15,0,low,high,100,low,,"接送机×8, 海淘×8, 销户×4","高端卡专区(17%), 还款页面(32%), 额度管理(6%), 活动中心(44%)",年消费突破10万,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000371,UID000371,24,广州,M,沉睡期,金卡,金卡,XX银行标准信用卡（金卡）,181600.0,4,0.5373,12569.7,1047.47,501.26,205.96,52.5,1,0,0,0,0,0,stable,887.77,M3+,3,3,55,12,medium,medium,0,high,"活跃度骤降, 沉睡预警, 逾期预警","手续费×2, 投诉×2, 钻石卡×7","境外消费专区(2%), 积分兑换(6%), 额度管理(79%), 高端卡专区(13%)",,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000372,UID000372,21,沈阳,M,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,88800.0,3,0.2676,10734.17,894.51,3103.22,1215.57,302.53,2,0,0,1,0,0,stable,645.4,M0,0,2,0,7,high,medium,2,high,"活跃度骤降, 沉睡预警","最低还款×6, 免税×4, 贵宾厅×6","积分兑换(21%), 高端卡专区(39%), 活动中心(19%), 额度管理(20%)",,True,True,False,True,False,True,True,True,True,False,,6,v1.0,2026-07-17T00:00:00+08:00
C000373,UID000373,22,沈阳,M,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,15700.0,1,0.2816,28379.46,2364.96,8600.86,3527.45,1123.84,11,3,0,6,2,0,stable,1307.72,M0,0,0,0,5,low,medium,11,high,"活跃度骤降, 沉睡预警","酒店×5, 优惠券×4, 临时额度×6","信用卡申请(7%), 活动中心(11%), 高端卡专区(36%), 积分兑换(46%)",办理自动还款|首次使用机场贵宾厅|额度首次提升,False,True,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000374,UID000374,22,上海,L,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,62900.0,4,0.557,38554.41,3212.87,12740.27,5464.31,1729.53,10,3,0,6,2,0,stable,4448.54,M0,0,0,0,1,low,low,13,high,"活跃度骤降, 沉睡预警","现金分期×7, 东京×2, 5折×6","额度管理(37%), 积分兑换(35%), 还款页面(6%), 权益商城(22%)",首笔分期办理|年消费突破10万,True,True,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000375,UID000375,32,杭州,L,成长期,普通,校园卡,XX银行YOUNG卡（校园版）,15000.0,2,0.2986,17621.2,1468.43,5066.45,1507.14,376.53,4,1,0,2,0,0,stable,2031.34,M0,0,0,32,8,low,low,5,high,"活跃度骤降, 沉睡预警","免息分期×6, 退卡×2, 里程×4","境外消费专区(43%), 积分兑换(16%), 分期计算器(30%), 权益商城(11%)",办理自动还款,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000376,UID000376,21,天津,L,成长期,金卡,白金卡,XX银行全币种国际白金信用卡,154800.0,2,0.6416,79776.91,6648.08,16765.7,7622.83,2321.8,19,6,1,11,3,0,stable,7862.56,M0,0,0,17,5,low,medium,20,medium,活跃度骤降,"积分兑换×8, 额度不够×7, 退卡×5","权益商城(5%), 境外消费专区(42%), 还款页面(18%), 活动中心(34%)",年消费突破10万|首次境外消费,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000377,UID000377,21,上海,L,成熟期,金卡,校园卡,XX银行YOUNG卡（校园版）,65200.0,4,0.7227,14223.26,1185.27,3933.29,1676.39,489.0,3,1,0,1,0,0,up,994.01,M0,0,0,1,2,low,medium,3,high,"活跃度骤降, 沉睡预警","注销×7, 出境游×4, 额度不够×7","权益商城(19%), 账单详情(47%), 分期计算器(25%), 活动中心(9%)",办理自动还款|首笔分期办理,True,True,False,False,False,True,True,False,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000378,UID000378,34,武汉,M,成熟期,普通,普卡,XX银行标准信用卡（普卡）,97500.0,4,0.1529,77600.16,6466.68,19219.0,4799.75,1051.63,91,31,7,54,18,4,stable,5544.6,M0,0,0,34,8,low,medium,62,low,,"5折×6, 销户×7, 固定额度×2","分期计算器(44%), 还款页面(19%), 活动中心(26%), 积分兑换(10%)",,True,False,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000379,UID000379,53,广州,M,新户,普通,金卡,XX银行携程旅行信用卡（金卡）,60800.0,1,0.1828,114098.25,9508.19,37408.5,12112.94,2174.89,162,56,14,90,31,7,down,5610.8,M0,0,0,6,2,low,medium,92,low,,"临时额度×3, 退卡×5, 手续费×2","活动中心(15%), 账单详情(26%), 额度管理(48%), 分期计算器(11%)",额度首次提升|升级白金卡|首笔分期办理,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000380,UID000380,46,西安,L,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,12500.0,1,0.6223,20628.44,1719.04,7098.55,2806.58,625.32,6,2,0,3,1,0,stable,701.6,M0,0,0,0,5,low,low,7,high,"活跃度骤降, 沉睡预警","白金卡×6, 现金分期×8, 投诉×4","信用卡申请(41%), 额度管理(11%), 新手指引(34%), 境外消费专区(15%)",首次使用机场贵宾厅,True,False,False,False,False,True,False,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000381,UID000381,32,深圳,M,成长期,金卡,白金卡,XX银行银联白金信用卡,144800.0,1,0.1148,213832.51,17819.38,59312.8,23563.17,4719.83,122,42,10,73,25,6,up,22490.39,M2,2,1,4,3,high,medium,92,low,逾期预警,"积分兑换×5, 销户×4, 提额×5","新手指引(3%), 境外消费专区(38%), 高端卡专区(27%), 积分兑换(33%)",,True,True,False,True,False,True,True,True,True,False,,7,v1.0,2026-07-17T00:00:00+08:00
C000382,UID000382,23,厦门,M,成熟期,白金,白金卡,XX银行经典版白金信用卡,235900.0,1,0.1798,103839.09,8653.26,19297.04,7349.95,1832.32,101,35,8,60,21,5,stable,6371.88,M0,0,0,0,3,low,high,68,low,,"积分兑换×7, 白金卡×3, 年费×2","额度管理(8%), 积分兑换(59%), 分期计算器(22%), 账单详情(11%)",首投投诉,True,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000383,UID000383,60,苏州,M,成长期,普通,金卡,XX银行京东PLUS联名信用卡（金卡）,82200.0,2,0.5084,117057.29,9754.77,34862.84,10901.3,3443.35,33,11,2,19,6,1,stable,9089.41,M0,0,0,3,0,low,medium,39,medium,,"临时额度×4, 注销×7, 最低还款×3","信用卡申请(2%), 境外消费专区(27%), 高端卡专区(14%), 还款页面(57%)",升级白金卡,True,True,False,False,False,True,True,True,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000384,UID000384,35,深圳,M,成熟期,普通,金卡,XX银行YOUNG卡（青年版）,32200.0,1,0.1253,97711.06,8142.59,15310.11,5262.89,1012.32,71,24,6,42,14,3,down,4211.99,M0,0,0,4,6,low,medium,49,medium,,"海淘×8, 投诉×4, 12期×8","分期计算器(12%), 新手指引(30%), 高端卡专区(41%), 信用卡申请(17%)",首次境外消费,True,True,False,False,False,False,True,True,False,False,APP Push,0,v1.0,2026-07-17T00:00:00+08:00
C000385,UID000385,36,福州,L,成长期,金卡,金卡,XX银行YOUNG卡（青年版）,55600.0,3,0.618,68051.9,5670.99,15081.84,3889.85,902.53,17,5,1,10,3,0,up,4504.63,M0,0,0,0,9,low,medium,18,high,"活跃度骤降, 沉睡预警","年费×6, 账单分期×5, 免税×5","账单详情(8%), 还款页面(35%), 活动中心(33%), 额度管理(24%)",,True,True,False,False,False,False,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000386,UID000386,33,郑州,L,成长期,普通,校园卡,XX银行YOUNG卡（校园版）,42500.0,2,0.2355,12737.13,1061.43,2991.4,1307.54,239.61,3,1,0,1,0,0,up,1193.57,M0,0,0,0,7,low,low,3,high,"活跃度骤降, 沉睡预警","酒店×8, 退卡×5, 手续费×2","还款页面(4%), 积分兑换(26%), 额度管理(47%), 账单详情(22%)",,True,False,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000387,UID000387,34,杭州,L,成熟期,金卡,白金卡,XX银行银联白金信用卡,114100.0,2,0.4507,83068.17,6922.35,19489.05,5915.68,1849.7,50,17,4,30,10,2,stable,9380.81,M0,0,0,5,0,low,medium,40,medium,,"接送机×4, 最低还款×2, 提额×7","境外消费专区(46%), 额度管理(2%), 分期计算器(8%), 积分兑换(44%)",首次使用机场贵宾厅|升级白金卡,False,True,False,False,False,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000388,UID000388,29,上海,H,成长期,金卡,白金卡,XX银行经典版白金信用卡,400000.0,3,0.7023,451051.47,37587.62,150197.96,55402.8,12083.33,136,47,11,81,28,7,up,45292.61,M2,2,0,4,7,high,high,96,low,逾期预警,"白金卡×3, 免税×5, 投诉×4","积分兑换(17%), 账单详情(15%), 信用卡申请(41%), 额度管理(28%)",年消费突破10万|首投投诉,False,True,False,True,False,True,False,True,True,False,,3,v1.0,2026-07-17T00:00:00+08:00
C000389,UID000389,32,合肥,M,成熟期,普通,校园卡,XX银行YOUNG卡（校园版）,45300.0,2,0.2969,13513.42,1126.12,3913.69,1277.7,299.91,2,0,0,1,0,0,up,959.16,M0,0,0,0,9,low,medium,3,high,"活跃度骤降, 沉睡预警","白金卡×5, 注销×6, 东京×6","新手指引(41%), 境外消费专区(28%), 分期计算器(28%), 活动中心(3%)",年消费突破10万|升级白金卡,True,True,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000390,UID000390,50,杭州,L,成熟期,金卡,普卡,XX银行标准信用卡（普卡）,54300.0,4,0.3141,14484.83,1207.07,2772.15,1203.25,231.24,5,1,0,3,1,0,stable,1434.67,M0,0,0,11,25,high,medium,4,high,"活跃度骤降, 沉睡预警","优惠券×8, 注销×5, 现金分期×2","账单详情(8%), 额度管理(18%), 信用卡申请(42%), 新手指引(32%)",首次使用机场贵宾厅|办理自动还款|年消费突破10万,True,True,True,True,True,True,True,True,False,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000391,UID000391,47,大连,L,成长期,金卡,金卡,XX银行京东PLUS联名信用卡（金卡）,116900.0,3,0.2057,35466.69,2955.56,12717.27,5233.57,1323.02,9,3,0,5,1,0,up,1298.87,M0,0,1,3,7,high,medium,12,high,"活跃度骤降, 沉睡预警","临时额度×2, 退卡×2, 优惠券×2","境外消费专区(6%), 活动中心(21%), 信用卡申请(42%), 分期计算器(31%)",,True,True,True,True,True,True,True,True,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000392,UID000392,21,南京,L,成长期,普通,金卡,XX银行标准信用卡（金卡）,106500.0,3,0.729,47534.41,3961.2,15667.17,6575.25,1495.04,20,7,1,12,4,1,stable,3383.1,M0,0,0,0,4,low,low,20,medium,活跃度骤降,"电影票×4, 临时额度×6, 免税×4","权益商城(30%), 额度管理(34%), 分期计算器(4%), 积分兑换(32%)",年消费突破10万|升级白金卡|办理自动还款,False,True,False,False,False,True,False,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000393,UID000393,21,成都,L,成熟期,普通,金卡,XX银行标准信用卡（金卡）,67900.0,4,0.1524,48354.3,4029.52,7685.5,3102.18,764.77,18,6,1,10,3,0,up,5021.34,M0,0,1,4,6,low,low,14,high,"活跃度骤降, 沉睡预警","年费×4, 酒店×5, 接送机×2","额度管理(6%), 高端卡专区(17%), 活动中心(23%), 信用卡申请(54%)",首笔分期办理,True,True,False,False,False,True,True,True,True,False,,0,v1.0,2026-07-17T00:00:00+08:00
C000394,UID000394,27,合肥,L,成熟期,普通,普卡,XX银行标准信用卡（普卡）,8900.0,1,0.1309,19861.75,1655.15,3983.69,1408.85,302.45,5,1,0,3,1,0,up,631.62,M0,0,0,3,1,low,low,5,high,"活跃度骤降, 沉睡预警","境外取现×8, 提额×2, 注销×4","境外消费专区(27%), 积分兑换(31%), 高端卡专区(17%), 活动中心(25%)",升级白金卡|首投投诉,True,True,False,False,False,True,True,False,False,True,,0,v1.0,2026-07-17T00:00:00+08:00
C000395,UID000395,44,武汉,H,新户,白金,白金卡,XX银行银联白金信用卡,258600.0,2,0.8398,681602.58,56800.21,198000.56,63662.34,17217.86,184,64,16,90,31,7,stable,57011.09,M0,0,0,19,1,low,high,100,low,,"电影票×7, 临时额度×6, 机票×5","账单详情(7%), 新手指引(6%), 权益商城(22%), 高端卡专区(66%)",年消费突破10万,True,False,False,False,False,True,True,True,True,True,,0,v1.0,2026-07-17T00:00:00+08:00
